==== DQN Training Boxes Positions ====

==== Episode 1 START ====
    Step 1 | Box 9 placed at (1, 3, 0) rot=2, size=(3, 6, 3)
    Step 2 | Box 27 placed at (2, 6, 4) rot=0, size=(6, 2, 4)
    Step 3 | Box 0 placed at (0, 1, 0) rot=1, size=(1, 4, 10)
    Step 4 | Box 8 placed at (2, 4, 8) rot=4, size=(3, 6, 2)
    Step 5 | Box 26 placed at (5, 0, 4) rot=5, size=(2, 6, 3)
    Step 6 | Box 45 placed at (9, 5, 0) rot=3, size=(1, 4, 9)
    Step 7 | Box 48 placed at (7, 0, 4) rot=2, size=(2, 6, 3)
    Step 8 | Box 23 placed at (6, 5, 8) rot=2, size=(3, 5, 2)
    Step 9 | Box 1 placed at (1, 3, 7) rot=1, size=(9, 1, 3)
    Step 10 | Box 37 placed at (2, 0, 0) rot=3, size=(3, 3, 3)
    Step 12 | Box 5 placed at (1, 0, 3) rot=5, size=(4, 3, 2)
    Step 13 | Box 13 placed at (1, 6, 3) rot=2, size=(1, 4, 6)
    Step 33 | Box 15 placed at (9, 0, 0) rot=3, size=(1, 3, 5)
    Step 35 | Box 33 placed at (5, 4, 8) rot=4, size=(1, 6, 2)
    Step 37 | Box 11 placed at (9, 0, 5) rot=4, size=(1, 2, 5)
    Step 39 | Box 4 placed at (0, 5, 9) rot=4, size=(2, 4, 1)
    Step 48 | Box 28 placed at (4, 1, 5) rot=0, size=(1, 2, 2)
    Step 49 | Box 19 placed at (4, 0, 7) rot=4, size=(1, 3, 1)
==== Episode 5 END ====
==== Episode 6 START ====
    Step 0 | Box 21 placed at (7, 4, 0) rot=4, size=(1, 6, 10)
    Step 1 | Box 4 placed at (4, 6, 0) rot=1, size=(3, 2, 9)
    Step 2 | Box 18 placed at (3, 2, 0) rot=1, size=(1, 5, 9)
    Step 3 | Box 9 placed at (1, 0, 0) rot=2, size=(2, 10, 2)
    Step 4 | Box 32 placed at (8, 2, 0) rot=0, size=(1, 8, 5)
    Step 5 | Box 11 placed at (0, 5, 2) rot=0, size=(3, 4, 3)
    Step 6 | Box 23 placed at (1, 2, 5) rot=2, size=(2, 6, 3)
    Step 7 | Box 49 placed at (4, 0, 0) rot=4, size=(3, 3, 4)
    Step 8 | Box 8 placed at (8, 0, 5) rot=5, size=(2, 8, 2)
    Step 9 | Box 39 placed at (4, 0, 4) rot=3, size=(2, 4, 4)
    Step 10 | Box 1 placed at (0, 5, 8) rot=3, size=(3, 5, 2)
    Step 11 | Box 16 placed at (4, 0, 8) rot=5, size=(3, 5, 2)
    Step 17 | Box 5 placed at (8, 8, 5) rot=4, size=(2, 2, 5)
